provider_id,given_name,family_name,npi_number,primary_taxonomy,practice_name,address_street,address_city,address_state,address_zip,place_id,phone_primary,phone_alt,email,license_number,license_state,license_status,last_validated_at,validated_by,overall_confidence,created_at,updated_at
a127e2de-a69e-4ffe-b192-4bf648092a62,Joseph,Moore,1673661511,207V00000X,Moore Obstetrics & Gynecology,8136 Second Ave,Anytown,ME,16537,ChIJ58520750269084114903,456-404-2626,,joseph.moore@outlook.com,B662832,ME,active,2025-07-02 04:48:28,validation_agent_002,0.76,2025-09-25 04:48:28,2025-09-25 04:48:28
10685197-4036-4bb7-82d1-3a80ca7c8460,James,Wilson,1788516578,207T00000X,Wilson Orthopedic Surgery,3904 Professional Pkwy,Anytown,OR,92025,ChIJ96857471838408726305,555-1234-567,,james.wilson@gmail.com,A754407,OR,active,2025-07-01 04:48:28,validation_agent_004,0.41,2025-09-25 04:48:28,2025-09-25 04:48:28
ca9f0443-8937-4bc3-a957-bc8105b9b374,Jennifer,Thompson,9850321840,207W00000X,Thompson Ophthalmology,6271 Elm St,Anytown,VA,47253,ChIJ45393427482223615626,459-744-9049,,@domain.com,C227094,VA,active,2025-06-19 04:48:28,validation_agent_002,0.68,2025-09-25 04:48:28,2025-09-25 04:48:28
b960a105-3f72-45a4-9c6b-86d290aa08cb,Donald,Jones,3234620495,208100000X,Jones Physical Medicine & Rehabilitation,2737 Oak Ave,Anytown,NE,16216,ChIJ24471662116892363388,823-546-1032,,donald.jones@yahoo.com,B573890,NE,expired,2025-04-16 04:48:28,validation_agent_008,0.4,2025-09-25 04:48:28,2025-09-25 04:48:28
43f141ed-a059-4330-a186-7fd8a311a1a4,Joseph,Torres,123456789,208100000X,Torres Physical Medicine & Rehabilitation,1231 Medical Center Dr,Anytown,HI,69572,ChIJ94663710360523981413,794-822-6977,434-403-6567,joseph.torres@gmail.com,C911307,HI,active,2025-05-09 04:48:28,validation_agent_005,0.47,2025-09-25 04:48:28,2025-09-25 04:48:28
a9636dc4-6d4b-415c-bd20-3fe9331aa5dc,Charles,Robinson,6757835260,207P00000X,Robinson Emergency Medicine,379 Elm St (MOVED),Joliet,IL,36247,ChIJ50787355554093424453,214-879-5758,,charles.robinson@gmail.com,C793603,IL,active,2024-11-09 04:48:28,validation_agent_005,0.7,2025-09-25 04:48:28,2025-09-25 04:48:28
597e715e-2c20-4ac3-999b-5f2dc2e28c38,Dr. David,Torres,8787443312,207K00000X,Torres Allergy & Immunology,7691 Park Ave,Anytown,ID,89622,ChIJ61074102681650173894,445-763-9404,,dr.david.torres@gmail.com,,ID,,2025-07-08 04:48:28,validation_agent_007,0.53,2025-09-25 04:48:28,2025-09-25 04:48:28
2504310a-5dba-429c-8af1-d18d0a1925d2,Sharon,Wilson,1566342890,208800000X,Wilson Urology,3462 First St,Roswell,GA,61594,ChIJ53680919047463073310,782-798-8037,,sharon.wilson@outlook.com,A236135,GA,active,2024-10-17 04:48:28,validation_agent_010,0.91,2025-09-25 04:48:28,2025-09-25 04:48:28
fff37f50-3d42-481a-970e-3a0ae76ef77a,Mark,Wilson,6416685647,207X00000X,Wilson Orthopedic Surgery,5725 Elm St,Hialeah,FL,96880,ChIJ32836669399289770941,572-253-9565,,mark.wilson@yahoo.com,A581046,FL,suspended,2025-05-02 04:48:28,validation_agent_009,0.25,2025-09-25 04:48:28,2025-09-25 04:48:28
009362af-e9af-4de8-b305-ffc98376f2c4,Michael,Sanchez,7749753736,207V00000X,Sanchez Obstetrics & Gynecology,5836 Medical Plaza,Anytown,AL,89687,ChIJ76101032497352633164,559-773-2139,,test@,A864900,AL,active,2025-07-14 04:48:28,validation_agent_007,0.58,2025-09-25 04:48:28,2025-09-25 04:48:28
